opportunity_id,created_date,department,region,customer_segment,converted,revenue
OPP-000084,2026-06-02,Northeast,East,SMB,True,1190.81
OPP-000085,2026-06-02,Northeast,East,Enterprise,False,0.0
OPP-000086,2026-06-02,Northeast,East,Mid-Market,False,0.0
OPP-000087,2026-06-02,Northeast,East,SMB,False,0.0
OPP-000088,2026-06-02,Northeast,East,SMB,True,764.13
OPP-000089,2026-06-02,Northeast,East,SMB,False,0.0
OPP-000090,2026-06-02,Northeast,East,SMB,False,0.0
OPP-000091,2026-06-02,Northeast,East,SMB,True,654.23
OPP-000092,2026-06-02,Northeast,East,Mid-Market,False,0.0
OPP-000093,2026-06-02,Northeast,East,SMB,False,0.0
OPP-000094,2026-06-02,Northeast,East,Mid-Market,True,2434.88
OPP-000095,2026-06-02,Northeast,East,SMB,False,0.0
OPP-000096,2026-06-02,Northeast,East,Mid-Market,False,0.0
OPP-000097,2026-06-02,Northeast,East,SMB,True,503.55
OPP-000098,2026-06-02,Northeast,East,SMB,True,416.15
OPP-000099,2026-06-02,Northeast,East,Mid-Market,True,3031.9
OPP-000100,2026-06-02,Southeast,East,SMB,True,1350.44
OPP-000101,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000102,2026-06-02,Southeast,East,SMB,True,1088.8
OPP-000103,2026-06-02,Southeast,East,SMB,True,409.86
OPP-000104,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000105,2026-06-02,Southeast,East,SMB,True,455.47
OPP-000106,2026-06-02,Southeast,East,Mid-Market,False,0.0
OPP-000107,2026-06-02,Southeast,East,Enterprise,False,0.0
OPP-000108,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000109,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000110,2026-06-02,Southeast,East,Mid-Market,False,0.0
OPP-000111,2026-06-02,Southeast,East,SMB,True,448.29
OPP-000112,2026-06-02,Southeast,East,SMB,True,1068.35
OPP-000113,2026-06-02,Southeast,East,Enterprise,False,0.0
OPP-000114,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000115,2026-06-02,Southeast,East,SMB,False,0.0
OPP-000116,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000117,2026-06-02,Northwest,West,SMB,True,868.0
OPP-000118,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000119,2026-06-02,Northwest,West,Mid-Market,False,0.0
OPP-000120,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000121,2026-06-02,Northwest,West,Mid-Market,True,1501.65
OPP-000122,2026-06-02,Northwest,West,Mid-Market,False,0.0
OPP-000123,2026-06-02,Northwest,West,Mid-Market,True,4235.68
OPP-000124,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000125,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000126,2026-06-02,Northwest,West,Mid-Market,False,0.0
OPP-000127,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000128,2026-06-02,Northwest,West,SMB,True,870.7
OPP-000129,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000130,2026-06-02,Northwest,West,Mid-Market,False,0.0
OPP-000131,2026-06-02,Northwest,West,SMB,False,0.0
OPP-000132,2026-06-02,Northwest,West,Mid-Market,False,0.0
OPP-000133,2026-06-02,Southwest,West,Enterprise,False,0.0
OPP-000134,2026-06-02,Southwest,West,Enterprise,False,0.0
OPP-000135,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000136,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000137,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000138,2026-06-02,Southwest,West,Mid-Market,False,0.0
OPP-000139,2026-06-02,Southwest,West,Mid-Market,False,0.0
OPP-000140,2026-06-02,Southwest,West,Enterprise,False,0.0
OPP-000141,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000142,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000143,2026-06-02,Southwest,West,Mid-Market,False,0.0
OPP-000144,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000145,2026-06-02,Southwest,West,Mid-Market,False,0.0
OPP-000146,2026-06-02,Southwest,West,SMB,False,0.0
OPP-000147,2026-06-02,Southwest,West,SMB,True,667.14
OPP-000148,2026-06-02,Southwest,West,SMB,True,1259.05
OPP-000149,2026-06-02,Southwest,West,Mid-Market,True,2424.56
OPP-000150,2026-06-02,Southwest,West,Mid-Market,False,0.0
OPP-000151,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000152,2026-06-03,Northeast,East,SMB,True,931.57
OPP-000153,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000154,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000155,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000156,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000157,2026-06-03,Northeast,East,Mid-Market,True,2001.87
OPP-000158,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000159,2026-06-03,Northeast,East,Enterprise,True,7622.08
OPP-000160,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000161,2026-06-03,Northeast,East,SMB,True,1361.75
OPP-000162,2026-06-03,Northeast,East,SMB,True,2019.41
OPP-000163,2026-06-03,Northeast,East,SMB,True,556.68
OPP-000164,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000165,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000166,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000167,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000168,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000169,2026-06-03,Northeast,East,Mid-Market,True,2733.6
OPP-000170,2026-06-03,Northeast,East,SMB,True,1067.63
OPP-000171,2026-06-03,Northeast,East,Mid-Market,False,0.0
OPP-000172,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000173,2026-06-03,Northeast,East,SMB,False,0.0
OPP-000174,2026-06-03,Northeast,East,Mid-Market,True,1967.94
OPP-000175,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000176,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000177,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000178,2026-06-03,Southeast,East,Mid-Market,False,0.0
OPP-000179,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000180,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000181,2026-06-03,Southeast,East,SMB,True,562.42
OPP-000182,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000183,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000184,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000185,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000186,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000187,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000188,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000189,2026-06-03,Southeast,East,SMB,False,0.0
OPP-000190,2026-06-03,Northwest,West,Enterprise,False,0.0
OPP-000191,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000192,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000193,2026-06-03,Northwest,West,SMB,True,742.4
OPP-000194,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000195,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000196,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000197,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000198,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000199,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000200,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000201,2026-06-03,Northwest,West,Mid-Market,False,0.0
OPP-000202,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000203,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000204,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000205,2026-06-03,Northwest,West,Enterprise,False,0.0
OPP-000206,2026-06-03,Northwest,West,Mid-Market,False,0.0
OPP-000207,2026-06-03,Northwest,West,Enterprise,False,0.0
OPP-000208,2026-06-03,Northwest,West,SMB,True,572.15
OPP-000209,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000210,2026-06-03,Northwest,West,Enterprise,False,0.0
OPP-000211,2026-06-03,Northwest,West,Mid-Market,False,0.0
OPP-000212,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000213,2026-06-03,Northwest,West,SMB,False,0.0
OPP-000214,2026-06-03,Northwest,West,Mid-Market,False,0.0
OPP-000215,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000216,2026-06-03,Southwest,West,SMB,True,433.29
OPP-000217,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000218,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000219,2026-06-03,Southwest,West,SMB,True,636.86
OPP-000220,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000221,2026-06-03,Southwest,West,SMB,True,622.58
OPP-000222,2026-06-03,Southwest,West,Mid-Market,True,3103.5
OPP-000223,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000224,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000225,2026-06-03,Southwest,West,Mid-Market,False,0.0
OPP-000226,2026-06-03,Southwest,West,SMB,True,1153.52
OPP-000227,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000228,2026-06-03,Southwest,West,Mid-Market,True,1970.38
OPP-000229,2026-06-03,Southwest,West,Enterprise,False,0.0
OPP-000230,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000231,2026-06-03,Southwest,West,SMB,False,0.0
OPP-000232,2026-06-04,Northeast,East,Mid-Market,False,0.0
OPP-000233,2026-06-04,Northeast,East,SMB,True,958.4
OPP-000234,2026-06-04,Northeast,East,Mid-Market,False,0.0
OPP-000235,2026-06-04,Northeast,East,Mid-Market,False,0.0
OPP-000236,2026-06-04,Northeast,East,SMB,True,509.6
OPP-000237,2026-06-04,Northeast,East,SMB,True,654.27
OPP-000238,2026-06-04,Northeast,East,SMB,False,0.0
OPP-000239,2026-06-04,Northeast,East,Mid-Market,True,2025.78
OPP-000240,2026-06-04,Northeast,East,Enterprise,True,6790.8
OPP-000241,2026-06-04,Northeast,East,Enterprise,False,0.0
OPP-000242,2026-06-04,Northeast,East,Mid-Market,True,2104.51
OPP-000243,2026-06-04,Northeast,East,Enterprise,False,0.0
OPP-000244,2026-06-04,Northeast,East,SMB,False,0.0
OPP-000245,2026-06-04,Northeast,East,SMB,False,0.0
OPP-000246,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000247,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000248,2026-06-04,Southeast,East,Mid-Market,False,0.0
OPP-000249,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000250,2026-06-04,Southeast,East,Enterprise,False,0.0
OPP-000251,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000252,2026-06-04,Southeast,East,SMB,True,708.83
OPP-000253,2026-06-04,Southeast,East,Mid-Market,False,0.0
OPP-000254,2026-06-04,Southeast,East,Mid-Market,True,2561.34
OPP-000255,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000256,2026-06-04,Southeast,East,Enterprise,False,0.0
OPP-000257,2026-06-04,Southeast,East,Mid-Market,True,974.67
OPP-000258,2026-06-04,Southeast,East,SMB,True,605.93
OPP-000259,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000260,2026-06-04,Southeast,East,Mid-Market,False,0.0
OPP-000261,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000262,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000263,2026-06-04,Southeast,East,SMB,False,0.0
OPP-000264,2026-06-04,Southeast,East,Mid-Market,False,0.0
OPP-000265,2026-06-04,Northwest,West,Mid-Market,True,3234.27
OPP-000266,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000267,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000268,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000269,2026-06-04,Northwest,West,SMB,True,465.02
OPP-000270,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000271,2026-06-04,Northwest,West,SMB,True,1059.06
OPP-000272,2026-06-04,Northwest,West,Mid-Market,False,0.0
OPP-000273,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000274,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000275,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000276,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000277,2026-06-04,Northwest,West,Enterprise,False,0.0
OPP-000278,2026-06-04,Northwest,West,SMB,True,884.28
OPP-000279,2026-06-04,Northwest,West,Mid-Market,False,0.0
OPP-000280,2026-06-04,Northwest,West,Enterprise,False,0.0
OPP-000281,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000282,2026-06-04,Northwest,West,SMB,False,0.0
OPP-000283,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000284,2026-06-04,Southwest,West,Mid-Market,False,0.0
OPP-000285,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000286,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000287,2026-06-04,Southwest,West,SMB,True,1738.6
OPP-000288,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000289,2026-06-04,Southwest,West,SMB,True,1053.33
OPP-000290,2026-06-04,Southwest,West,Enterprise,False,0.0
OPP-000291,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000292,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000293,2026-06-04,Southwest,West,Mid-Market,False,0.0
OPP-000294,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000295,2026-06-04,Southwest,West,SMB,False,0.0
OPP-000296,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000297,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000298,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000299,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000300,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000301,2026-06-05,Northeast,East,Mid-Market,False,0.0
OPP-000302,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000303,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000304,2026-06-05,Northeast,East,SMB,True,1431.91
OPP-000305,2026-06-05,Northeast,East,Mid-Market,True,2663.7
OPP-000306,2026-06-05,Northeast,East,Enterprise,False,0.0
OPP-000307,2026-06-05,Northeast,East,Mid-Market,False,0.0
OPP-000308,2026-06-05,Northeast,East,Enterprise,False,0.0
OPP-000309,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000310,2026-06-05,Northeast,East,SMB,False,0.0
OPP-000311,2026-06-05,Southeast,East,Enterprise,True,6592.15
OPP-000312,2026-06-05,Southeast,East,SMB,True,349.06
OPP-000313,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000314,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000315,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000316,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000317,2026-06-05,Southeast,East,SMB,True,505.77
OPP-000318,2026-06-05,Southeast,East,Enterprise,False,0.0
OPP-000319,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000320,2026-06-05,Southeast,East,SMB,False,0.0
OPP-000321,2026-06-05,Southeast,East,Mid-Market,False,0.0
OPP-000322,2026-06-05,Southeast,East,Mid-Market,False,0.0
OPP-000323,2026-06-05,Southeast,East,Mid-Market,False,0.0
OPP-000324,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000325,2026-06-05,Northwest,West,Mid-Market,False,0.0
OPP-000326,2026-06-05,Northwest,West,Mid-Market,True,3679.79
OPP-000327,2026-06-05,Northwest,West,Mid-Market,False,0.0
OPP-000328,2026-06-05,Northwest,West,Mid-Market,False,0.0
OPP-000329,2026-06-05,Northwest,West,SMB,True,1013.27
OPP-000330,2026-06-05,Northwest,West,SMB,True,929.45
OPP-000331,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000332,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000333,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000334,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000335,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000336,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000337,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000338,2026-06-05,Northwest,West,Mid-Market,False,0.0
OPP-000339,2026-06-05,Northwest,West,Enterprise,False,0.0
OPP-000340,2026-06-05,Northwest,West,Enterprise,False,0.0
OPP-000341,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000342,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000343,2026-06-05,Northwest,West,SMB,False,0.0
OPP-000344,2026-06-05,Northwest,West,Enterprise,False,0.0
OPP-000345,2026-06-05,Northwest,West,SMB,True,614.91
OPP-000346,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000347,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000348,2026-06-05,Southwest,West,Mid-Market,False,0.0
OPP-000349,2026-06-05,Southwest,West,SMB,True,590.51
OPP-000350,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000351,2026-06-05,Southwest,West,SMB,True,1526.54
OPP-000352,2026-06-05,Southwest,West,Enterprise,False,0.0
OPP-000353,2026-06-05,Southwest,West,SMB,True,393.9
OPP-000354,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000355,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000356,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000357,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000358,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000359,2026-06-05,Southwest,West,Mid-Market,True,6753.26
OPP-000360,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000361,2026-06-05,Southwest,West,Mid-Market,False,0.0
OPP-000362,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000363,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000364,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000365,2026-06-05,Southwest,West,SMB,True,864.2
OPP-000366,2026-06-05,Southwest,West,SMB,False,0.0
OPP-000367,2026-06-05,Southwest,West,Mid-Market,False,0.0
OPP-000368,2026-06-06,Northeast,East,Mid-Market,False,0.0
OPP-000369,2026-06-06,Northeast,East,SMB,False,0.0
OPP-000370,2026-06-06,Northeast,East,SMB,False,0.0
OPP-000371,2026-06-06,Northeast,East,Mid-Market,False,0.0
OPP-000372,2026-06-06,Northeast,East,SMB,True,1213.07
OPP-000373,2026-06-06,Northeast,East,SMB,False,0.0
OPP-000374,2026-06-06,Northeast,East,SMB,True,855.33
OPP-000375,2026-06-06,Northeast,East,SMB,False,0.0
OPP-000376,2026-06-06,Northeast,East,Mid-Market,False,0.0
OPP-000377,2026-06-06,Southeast,East,Mid-Market,False,0.0
OPP-000378,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000379,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000380,2026-06-06,Southeast,East,Mid-Market,False,0.0
OPP-000381,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000382,2026-06-06,Southeast,East,Mid-Market,False,0.0
OPP-000383,2026-06-06,Southeast,East,SMB,True,835.18
OPP-000384,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000385,2026-06-06,Southeast,East,Enterprise,False,0.0
OPP-000386,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000387,2026-06-06,Southeast,East,SMB,False,0.0
OPP-000388,2026-06-06,Northwest,West,Enterprise,False,0.0
OPP-000389,2026-06-06,Northwest,West,SMB,False,0.0
OPP-000390,2026-06-06,Southwest,West,SMB,False,0.0
OPP-000391,2026-06-06,Southwest,West,SMB,False,0.0
OPP-000392,2026-06-06,Southwest,West,Enterprise,False,0.0
OPP-000393,2026-06-06,Southwest,West,SMB,True,778.6
OPP-000394,2026-06-06,Southwest,West,SMB,False,0.0
OPP-000395,2026-06-06,Southwest,West,Mid-Market,True,1132.76
OPP-000396,2026-06-06,Southwest,West,SMB,False,0.0
OPP-000397,2026-06-06,Southwest,West,SMB,True,1279.23
OPP-000398,2026-06-06,Southwest,West,Enterprise,False,0.0
OPP-000399,2026-06-06,Southwest,West,SMB,False,0.0
OPP-000400,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000401,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000402,2026-06-07,Northeast,East,Mid-Market,False,0.0
OPP-000403,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000404,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000405,2026-06-07,Northeast,East,SMB,True,1460.38
OPP-000406,2026-06-07,Northeast,East,Mid-Market,True,3947.16
OPP-000407,2026-06-07,Northeast,East,Mid-Market,False,0.0
OPP-000408,2026-06-07,Northeast,East,SMB,True,681.73
OPP-000409,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000410,2026-06-07,Northeast,East,SMB,False,0.0
OPP-000411,2026-06-07,Southeast,East,Enterprise,False,0.0
OPP-000412,2026-06-07,Southeast,East,Mid-Market,True,2948.13
OPP-000413,2026-06-07,Southeast,East,Mid-Market,False,0.0
OPP-000414,2026-06-07,Southeast,East,Mid-Market,False,0.0
OPP-000415,2026-06-07,Southeast,East,SMB,True,2323.22
OPP-000416,2026-06-07,Southeast,East,SMB,False,0.0
OPP-000417,2026-06-07,Southeast,East,SMB,False,0.0
OPP-000418,2026-06-07,Southeast,East,SMB,True,1072.51
OPP-000419,2026-06-07,Southeast,East,SMB,False,0.0
OPP-000420,2026-06-07,Southeast,East,Mid-Market,True,1732.49
OPP-000421,2026-06-07,Southeast,East,SMB,True,837.24
OPP-000422,2026-06-07,Southeast,East,Mid-Market,True,9032.76
OPP-000423,2026-06-07,Southeast,East,Mid-Market,True,3801.07
OPP-000424,2026-06-07,Northwest,West,SMB,False,0.0
OPP-000425,2026-06-07,Northwest,West,Enterprise,False,0.0
OPP-000426,2026-06-07,Northwest,West,SMB,True,1670.95
OPP-000427,2026-06-07,Northwest,West,SMB,False,0.0
OPP-000428,2026-06-07,Northwest,West,Mid-Market,False,0.0
OPP-000429,2026-06-07,Northwest,West,Mid-Market,False,0.0
OPP-000430,2026-06-07,Northwest,West,SMB,True,983.42
OPP-000431,2026-06-07,Northwest,West,Enterprise,False,0.0
OPP-000432,2026-06-07,Northwest,West,Enterprise,False,0.0
OPP-000433,2026-06-07,Northwest,West,SMB,False,0.0
OPP-000434,2026-06-07,Northwest,West,SMB,False,0.0
