date,department,region,headcount,absent_count,hours_worked
2026-07-17,Southeast,East,22,0,178.83
2026-07-17,Northwest,West,20,2,146.23
2026-07-17,Southwest,West,18,2,127.65
2026-07-18,Northeast,East,24,1,157.79
2026-07-18,Southeast,East,21,1,138.74
2026-07-18,Northwest,West,19,0,135.1
2026-07-18,Southwest,West,18,0,130.32
2026-07-19,Northeast,East,24,0,166.35
2026-07-19,Southeast,East,22,0,149.09
2026-07-19,Northwest,West,20,0,137.2
2026-07-19,Southwest,West,18,3,110.94
2026-07-20,Northeast,East,25,2,185.45
2026-07-20,Southeast,East,20,3,134.82
2026-07-20,Northwest,West,19,0,159.99
2026-07-20,Southwest,West,17,1,128.94
2026-07-21,Northeast,East,25,4,169.0
2026-07-21,Southeast,East,24,1,182.3
2026-07-21,Northwest,West,19,0,150.31
2026-07-21,Southwest,West,18,3,120.97
2026-07-22,Northeast,East,22,1,165.69
2026-07-22,Southeast,East,23,1,173.45
2026-07-22,Northwest,West,20,2,145.79
2026-07-22,Southwest,West,16,0,123.86
2026-07-23,Northeast,East,24,1,185.79
2026-07-23,Southeast,East,22,1,170.86
2026-07-23,Northwest,West,20,0,165.8
2026-07-23,Southwest,West,18,0,145.08
2026-07-24,Northeast,East,24,0,189.87
2026-07-24,Southeast,East,22,1,163.84
2026-07-24,Northwest,West,18,0,154.2
2026-07-24,Southwest,West,18,1,134.76
2026-07-25,Northeast,East,24,2,150.43
2026-07-25,Southeast,East,22,0,148.9
2026-07-25,Northwest,West,20,4,113.33
2026-07-25,Southwest,West,18,0,129.18
2026-07-26,Northeast,East,22,0,153.32
2026-07-26,Southeast,East,24,0,175.63
2026-07-26,Northwest,West,19,0,135.04
2026-07-26,Southwest,West,17,1,117.49
2026-07-27,Northeast,East,24,3,167.93
2026-07-27,Southeast,East,21,0,167.67
2026-07-27,Northwest,West,18,0,145.93
2026-07-27,Southwest,West,18,1,139.14
2026-07-28,Northeast,East,24,0,186.73
2026-07-28,Southeast,East,23,0,193.53
2026-07-28,Northwest,West,20,1,151.33
2026-07-28,Southwest,West,18,0,149.01
2026-07-29,Northeast,East,24,2,174.0
2026-07-29,Southeast,East,22,0,179.16
2026-07-29,Northwest,West,21,1,158.3
2026-07-29,Southwest,West,18,0,147.81
2026-07-30,Northeast,East,22,0,172.87
2026-07-30,Southeast,East,20,0,156.34
2026-07-30,Northwest,West,20,0,159.02
2026-07-30,Southwest,West,17,0,140.2
2026-07-31,Northeast,East,23,0,186.23
2026-07-31,Southeast,East,22,1,167.95
2026-07-31,Northwest,West,20,2,143.95
2026-07-31,Southwest,West,18,1,129.75
2026-08-01,Northeast,East,24,2,150.79
2026-08-01,Southeast,East,22,0,145.76
2026-08-01,Northwest,West,19,1,132.56
2026-08-01,Southwest,West,18,2,108.08
2026-08-02,Northeast,East,23,1,155.11
2026-08-02,Southeast,East,22,0,155.99
2026-08-02,Northwest,West,20,0,144.03
2026-08-02,Southwest,West,17,1,116.65
2026-08-03,Northeast,East,25,1,184.56
2026-08-03,Southeast,East,22,2,167.19
2026-08-03,Northwest,West,20,1,148.43
2026-08-03,Southwest,West,18,2,123.94
2026-08-04,Northeast,East,26,4,180.54
2026-08-04,Southeast,East,21,0,170.56
2026-08-04,Northwest,West,20,0,162.54
2026-08-04,Southwest,West,18,0,145.36
2026-08-05,Northeast,East,22,0,173.78
2026-08-05,Southeast,East,21,1,166.92
2026-08-05,Northwest,West,21,2,157.4
2026-08-05,Southwest,West,18,0,139.63
2026-08-06,Northeast,East,24,1,178.79
2026-08-06,Southeast,East,22,0,183.19
2026-08-06,Northwest,West,21,0,169.0
2026-08-06,Southwest,West,18,1,131.67
2026-08-07,Northeast,East,24,0,187.0
2026-08-07,Southeast,East,22,1,160.85
2026-08-07,Northwest,West,20,1,156.24
2026-08-07,Southwest,West,19,0,148.62
2026-08-08,Northeast,East,23,1,156.4
2026-08-08,Southeast,East,23,1,154.35
2026-08-08,Northwest,West,19,0,134.63
2026-08-08,Southwest,West,18,1,120.69
2026-08-09,Northeast,East,24,0,170.21
2026-08-09,Southeast,East,22,1,148.93
2026-08-09,Northwest,West,19,0,139.51
2026-08-09,Southwest,West,17,0,112.23
2026-08-10,Northeast,East,24,1,183.53
2026-08-10,Southeast,East,23,1,177.58
2026-08-10,Northwest,West,21,0,166.48
2026-08-10,Southwest,West,18,5,102.69
2026-08-11,Northeast,East,25,2,182.66
2026-08-11,Southeast,East,24,1,191.01
2026-08-11,Northwest,West,20,0,161.46
2026-08-11,Southwest,West,21,4,133.17
2026-08-12,Northeast,East,25,3,174.04
2026-08-12,Southeast,East,23,0,185.11
2026-08-12,Northwest,West,20,0,161.7
2026-08-12,Southwest,West,16,6,76.07
2026-08-13,Northeast,East,23,1,176.34
2026-08-13,Southeast,East,22,0,170.63
2026-08-13,Northwest,West,20,1,151.81
2026-08-13,Southwest,West,18,3,122.9
2026-08-14,Northeast,East,24,1,176.17
2026-08-14,Southeast,East,22,0,175.59
2026-08-14,Northwest,West,20,2,147.79
2026-08-14,Southwest,West,17,6,83.63
2026-08-15,Northeast,East,24,0,167.23
2026-08-15,Southeast,East,19,2,116.35
2026-08-15,Northwest,West,20,0,140.95
2026-08-15,Southwest,West,18,5,88.82
2026-08-16,Northeast,East,23,0,155.78
2026-08-16,Southeast,East,22,1,147.25
2026-08-16,Northwest,West,21,2,142.0
2026-08-16,Southwest,West,18,1,119.96
2026-08-17,Northeast,East,23,0,185.59
2026-08-17,Southeast,East,22,0,179.95
2026-08-17,Northwest,West,21,2,148.15
2026-08-17,Southwest,West,18,2,120.48
2026-08-18,Northeast,East,24,3,168.48
2026-08-18,Southeast,East,22,1,175.53
2026-08-18,Northwest,West,20,1,151.07
2026-08-18,Southwest,West,18,1,137.79
2026-08-19,Northeast,East,25,3,177.24
2026-08-19,Southeast,East,22,0,175.65
2026-08-19,Northwest,West,21,0,168.85
2026-08-19,Southwest,West,19,4,124.8
2026-08-20,Northeast,East,24,1,185.34
2026-08-20,Southeast,East,19,1,129.41
2026-08-20,Northwest,West,18,0,145.91
2026-08-20,Southwest,West,17,1,133.48
2026-08-21,Northeast,East,24,1,183.99
2026-08-21,Southeast,East,22,0,176.52
2026-08-21,Northwest,West,19,1,143.86
2026-08-21,Southwest,West,17,0,133.03
2026-08-22,Northeast,East,25,0,174.87
2026-08-22,Southeast,East,22,0,157.35
2026-08-22,Northwest,West,19,1,131.14
2026-08-22,Southwest,West,18,1,121.46
2026-08-23,Northeast,East,24,0,169.88
2026-08-23,Southeast,East,22,2,143.33
2026-08-23,Northwest,West,19,2,118.47
2026-08-23,Southwest,West,18,0,132.64
2026-08-24,Northeast,East,26,2,191.56
2026-08-24,Southeast,East,22,1,168.48
2026-08-24,Northwest,West,20,0,159.76
2026-08-24,Southwest,West,18,0,146.54
2026-08-25,Northeast,East,24,0,194.68
2026-08-25,Southeast,East,22,1,169.52
2026-08-25,Northwest,West,19,0,150.0
2026-08-25,Southwest,West,17,0,131.92
2026-08-26,Northeast,East,24,0,190.65
2026-08-26,Southeast,East,22,1,169.26
2026-08-26,Northwest,West,20,1,143.57
2026-08-26,Southwest,West,18,1,136.14
2026-08-27,Northeast,East,24,0,196.75
2026-08-27,Southeast,East,22,1,169.94
2026-08-27,Northwest,West,20,2,147.94
2026-08-27,Southwest,West,18,2,130.71
2026-08-28,Northeast,East,23,1,178.79
2026-08-28,Southeast,East,22,0,172.56
2026-08-28,Northwest,West,20,2,140.18
2026-08-28,Southwest,West,18,1,135.18
2026-08-29,Northeast,East,24,1,156.41
2026-08-29,Southeast,East,23,1,156.52
2026-08-29,Northwest,West,20,1,133.15
2026-08-29,Southwest,West,19,1,131.25
2026-08-30,Northeast,East,24,0,164.67
2026-08-30,Southeast,East,22,2,140.49
2026-08-30,Northwest,West,20,0,139.88
2026-08-30,Southwest,West,17,0,120.59
2026-08-31,Northeast,East,25,1,189.65
2026-08-31,Southeast,East,23,0,183.4
2026-08-31,Northwest,West,20,0,160.44
2026-08-31,Southwest,West,18,0,137.83
2026-09-01,Northeast,East,24,1,181.62
2026-09-01,Southeast,East,22,1,168.72
2026-09-01,Northwest,West,20,5,119.73
2026-09-01,Southwest,West,19,1,147.89
2026-09-02,Northeast,East,25,1,194.46
2026-09-02,Southeast,East,22,1,163.61
2026-09-02,Northwest,West,20,2,140.82
2026-09-02,Southwest,West,19,0,157.95
2026-09-03,Northeast,East,24,1,183.04
2026-09-03,Southeast,East,22,2,164.53
2026-09-03,Northwest,West,20,1,148.05
2026-09-03,Southwest,West,18,0,141.0
2026-09-04,Northeast,East,24,0,190.92
2026-09-04,Southeast,East,24,0,191.02
2026-09-04,Northwest,West,18,1,134.95
2026-09-04,Southwest,West,18,0,143.34
2026-09-05,Northeast,East,25,0,176.15
2026-09-05,Southeast,East,22,1,154.72
2026-09-05,Northwest,West,18,0,124.55
2026-09-05,Southwest,West,18,0,128.61
2026-09-06,Northeast,East,24,0,173.08
2026-09-06,Southeast,East,22,4,127.81
2026-09-06,Northwest,West,20,1,134.2
2026-09-06,Southwest,West,18,3,95.8
2026-09-07,Northeast,East,23,0,182.55
2026-09-07,Southeast,East,22,1,164.06
2026-09-07,Northwest,West,19,2,143.21
2026-09-07,Southwest,West,18,0,139.4
2026-09-08,Northeast,East,22,0,172.01
2026-09-08,Southeast,East,22,2,156.95
2026-09-08,Northwest,West,20,0,161.67
2026-09-08,Southwest,West,17,1,124.8
2026-09-09,Northeast,East,24,0,186.49
2026-09-09,Southeast,East,22,1,170.45
2026-09-09,Northwest,West,20,1,156.03
2026-09-09,Southwest,West,18,0,151.74
2026-09-10,Northeast,East,26,0,204.29
2026-09-10,Southeast,East,23,0,178.71
2026-09-10,Northwest,West,20,0,159.59
2026-09-10,Southwest,West,18,0,141.15
2026-09-11,Northeast,East,23,0,185.19
2026-09-11,Southeast,East,23,0,183.26
2026-09-11,Northwest,West,20,0,154.49
2026-09-11,Southwest,West,16,1,115.22
2026-09-12,Northeast,East,25,2,167.08
2026-09-12,Southeast,East,22,4,123.12
2026-09-12,Northwest,West,20,0,138.49
2026-09-12,Southwest,West,18,1,117.48
2026-09-13,Northeast,East,23,1,155.23
2026-09-13,Southeast,East,22,1,147.95
2026-09-13,Northwest,West,20,0,147.01
2026-09-13,Southwest,West,19,1,133.45
2026-09-14,Northeast,East,24,1,184.27
2026-09-14,Southeast,East,22,2,159.31
2026-09-14,Northwest,West,19,0,158.07
2026-09-14,Southwest,West,18,1,133.1
2026-09-15,Northeast,East,24,0,191.85
2026-09-15,Southeast,East,24,0,196.0
2026-09-15,Northwest,West,20,0,158.21
2026-09-15,Southwest,West,18,0,140.66
2026-09-16,Northeast,East,24,1,186.37
2026-09-16,Southeast,East,23,3,158.5
2026-09-16,Northwest,West,20,1,152.09
2026-09-16,Southwest,West,18,1,137.45
2026-09-17,Northeast,East,24,1,175.32
2026-09-17,Southeast,East,20,1,152.24
2026-09-17,Northwest,West,20,0,159.91
2026-09-17,Southwest,West,20,1,152.68
2026-09-18,Northeast,East,24,2,167.48
2026-09-18,Southeast,East,22,3,145.7
2026-09-18,Northwest,West,20,0,156.14
2026-09-18,Southwest,West,18,0,133.82
2026-09-19,Northeast,East,24,1,160.92
2026-09-19,Southeast,East,20,1,138.69
2026-09-19,Northwest,West,17,0,114.96
2026-09-19,Southwest,West,18,1,121.3
2026-09-20,Northeast,East,24,2,154.07
2026-09-20,Southeast,East,22,1,152.6
2026-09-20,Northwest,West,20,1,133.67
2026-09-20,Southwest,West,17,0,123.55
